T [K],vel [m/s],dist [m],X_NH3,X_NO2,X_NO,X_N2O,X_H2,X_O2,X_O3,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_CO,X_CO2,X_HOCO,X_CH2O,X_HCO,X_NH2,X_NH,X_N,X_NNH,X_N2H4,X_N2H3,X_tHNNH,X_cHNNH,X_H2NN,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_HONO,X_HNO2,X_NO3,X_HONO2,X_H2NCO,X_HNCO,X_NCO,X_AR,X_HE,X_N2,tau [ms]
550.8789639726715,0.2712022099169878,0.0,0.2546213476446045,3.2821673175466856e-19,-1.1367344307921623e-15,-7.023208498307083e-17,-3.155726066816872e-14,0.15652951699463388,-6.21546029822583e-20,3.102315153315916e-14,-1.9212779120028963e-14,-1.2909226923301118e-19,5.956372186018593e-17,9.7532965322935e-16,-1.4126547866496581e-15,1.721233572927342e-18,3.313115640147064e-19,-6.19756801298096e-20,-1.477165321159172e-16,-6.786281751591214e-20,1.0055480715188804e-16,-8.960179857056916e-16,-1.2424268972470615e-15,-8.279672828848538e-20,-2.0168149048205716e-15,-2.9342685477641115e-15,1.7707262677122836e-16,8.143229330519348e-18,3.7456634318057107e-16,-1.5680637436557885e-17,-7.148836390061082e-16,4.519376918188707e-16,-8.056313524023379e-20,-8.481023584441425e-20,1.4137194010064e-15,-1.450830901502933e-16,-1.3572449365771412e-16,-1.1771967098369168e-16,-5.780967174960701e-20,-2.6820638978856298e-16,-3.0972907343122493e-16,-8.263219975109551e-20,-2.836278645715307e-19,0.5888491353607894,-488.8522045333961
550.8789639724566,0.2712022099168845,0.16000000000000003,0.25462134764464045,3.748619258507401e-16,-3.32650790161547e-15,-7.025781781900781e-17,-3.152787702306016e-14,0.1565295169945961,-8.700720067768679e-20,3.888018360977386e-20,-1.168980187448342e-18,-1.425547325369377e-20,4.1448529268686835e-14,-2.0770761893146182e-14,-4.483441468031975e-15,1.5313064651098275e-18,2.180128396357387e-19,-1.9612039887964566e-26,-1.4774352242851665e-16,-1.2165078445589356e-26,4.3641751710193466e-14,-1.9199607877271254e-20,-5.887552679044675e-20,-4.1337274865855583e-29,-4.2820332671968157e-14,-2.933436019235013e-15,1.7701957052733517e-16,8.110360270188568e-18,2.872474316502101e-20,-1.5533159778098765e-17,-6.873096872871002e-16,4.2700508718588654e-16,-3.2021478722245724e-19,-1.1853136929748001e-19,1.4136877530076925e-15,-1.4509931359582718e-16,-1.3574550567963977e-16,-1.1772380727227683e-16,-1.9579362495297532e-20,-2.68232754536038e-16,-3.097555431945794e-16,-1.1555229344635406e-19,-3.933570894292538e-19,0.5888491353607839,-349.34071665541035
550.8789639723717,0.27120220991684413,0.32000000000000006,0.2546213476446355,3.7528097403770105e-16,-3.33027297372413e-15,-7.005107206788602e-17,-3.152622573699476e-14,0.15652951699458875,1.0824893051888552e-19,2.2887711366676076e-24,8.599473924969658e-23,-2.0292852497239238e-22,5.056286759206438e-14,-2.1080435658781255e-14,-6.950925478880141e-15,2.1307004485799183e-18,6.212068719574323e-19,4.448950660844702e-26,-1.4753150075416622e-16,2.7595493977786787e-26,5.799865024225909e-14,-1.3313115895004754e-22,1.488417675920516e-23,3.767187568411105e-28,-4.822292519808516e-14,-2.932355713762084e-15,1.7726410314565417e-16,8.368366908257139e-18,2.2907779718553437e-23,-1.510067535736647e-17,-6.601899407024526e-16,4.037163216622869e-16,8.2552928388973145e-19,1.4616484110952456e-19,1.4138631155610668e-15,-1.4490693311779768e-16,-1.3558275194644114e-16,-1.1754467078642446e-16,3.9523133347276413e-20,-2.6802570671276185e-16,-3.0954755851679237e-16,1.4287685812639127e-19,4.616252301217238e-19,0.5888491353607807,-209.8292287774246
550.8789639723451,0.2712022099168312,0.4,0.2546213476446335,3.7356518401497996e-16,-3.3344465853847328e-15,-7.082017267391161e-17,-3.147688840347414e-14,0.1565295169945855,-6.204554708972766e-19,-1.6868929183756684e-23,-2.2133230788647267e-22,-1.957098079518314e-22,5.485607109855138e-14,-2.1230883435630563e-14,-8.043850386825094e-15,-3.4589043765532265e-20,-8.831482226009611e-19,-3.333735464109309e-25,-1.4832250199071772e-16,-2.0678366365153024e-25,6.149698648231631e-14,-1.1115987160148877e-22,-1.324429644665317e-22,-2.868860816493979e-27,-4.9065711189770596e-14,-2.932752396252031e-15,1.762960828776412e-16,7.406670497466668e-18,-1.4962106150959922e-22,-1.5990527823219442e-17,-6.480280035383848e-16,3.9132113314093465e-16,6.719866433177475e-19,-8.403239236078515e-19,1.4131725144674327e-15,-1.4558887298062694e-16,-1.3619152883653128e-16,-1.181436248401095e-16,-2.5065164360069185e-19,-2.687982331719527e-16,-3.1032357278699724e-16,-8.203761620052173e-19,-2.6866620393933977e-18,0.5888491353607802,-140.0734848384318
550.8789639723334,0.271202209916826,0.44,0.25462134764463196,3.7745377365255863e-16,-3.3240513052807653e-15,-6.903915406751809e-17,-2.954502396218675e-14,0.1565295169945836,1.0663633641922485e-18,7.81451289106956e-23,1.695991503211178e-21,-1.436086279115453e-22,5.696819047509111e-14,-2.1283446448734154e-14,-8.552936057055015e-15,4.651196826782195e-18,2.598954403223609e-18,1.5448653251432263e-24,-1.4649161638549511e-16,9.582419578980975e-25,6.296171434767064e-14,2.834420587185074e-22,6.1366834806462705e-22,1.3282439454355413e-26,-4.9320170757516236e-14,-2.930626549212705e-15,1.7851848146709054e-16,9.632181545915419e-18,6.976058528476037e-22,-1.3697517679371078e-17,-6.392275791859738e-16,3.879303348282136e-16,2.256985771351219e-18,1.4424945617919888e-18,1.4147591545000335e-15,-1.439979508931929e-16,-1.3478240641040912e-16,-1.1673360903990162e-16,7.4645695505168865e-19,-2.670099440008893e-16,-3.0852747445601125e-16,1.4087355241440037e-18,4.58258845314709e-18,0.588849135360779,-105.19561286893541
550.8789639723216,0.27120220991684363,0.48,0.2546213476446066,3.657870751122914e-16,-3.354527814298907e-15,-7.435418323257145e-17,6.465516938960601e-14,0.15652951699456744,-3.9692097380796106e-18,-2.3445216238084834e-22,-4.599206422995413e-21,-2.8779167437930663e-22,5.893418962263922e-14,-2.139975858805386e-14,-9.039306426698054e-15,-9.322745161880106e-18,-7.792726918071861e-18,-4.6345928927647404e-24,-1.5195500960661638e-16,-2.8747254669269803e-24,6.423460695162741e-14,-9.52749727136841e-22,-1.8409436994416252e-21,-3.9855028764466867e-26,-4.9533110382227544e-14,-2.9361144804967495e-15,1.7188186609344131e-16,2.998656807209392e-18,-2.0894896115362146e-21,-2.036875543856585e-17,-6.396075324895021e-16,3.7569311450751155e-16,-4.089232539837169e-18,-5.360741877794726e-18,1.410012766032649e-15,-1.4873987003548935e-16,-1.3899254815517716e-16,-1.209297466074063e-16,-2.2275885201028597e-18,-2.72346780664071e-16,-3.13887698032694e-16,-5.235452603524612e-18,-1.679568768453936e-17,0.5888491353607244,-70.31774089943899
550.8789639723168,0.27120220991727567,0.5,0.25462134764415056,3.8258518406073734e-16,-3.3136097962479127e-15,-6.669175642715336e-17,1.8068446102540536e-12,0.15652951699429302,3.2943231138411746e-18,6.829381408017319e-22,1.3876733058351546e-20,1.5483791450845829e-22,6.002901034721703e-14,-2.1361823649535186e-14,-9.260845337583303e-15,9.556484684518612e-18,7.18747457341468e-18,1.3499903473589738e-23,-1.440807283387687e-16,8.373662694530903e-24,6.501139333412513e-14,2.692718595618843e-21,5.3608347887572114e-21,1.1610971831058922e-25,-4.961378547467329e-14,-2.9277921059123076e-15,1.8142008388230714e-16,1.253841051540743e-17,6.0867800959847e-21,-1.0698305784162968e-17,-6.266571972256025e-16,3.8261713684077006e-16,4.3502144133306e-18,4.4199640883649124e-18,1.4168586934076905e-15,-1.4189183644399962e-16,-1.329102452834894e-16,-1.1485931060194998e-16,3.290496746629341e-18,-2.646530189803144e-16,-3.061606645585171e-16,4.319444176065125e-18,1.3134079628669015e-17,0.5888491353597103,-52.87880491469077
550.8789639723121,0.2712022099213971,0.51,0.25462134763982736,3.672582085646825e-16,-3.3503462894662843e-15,-7.367743316746145e-17,1.834831171052163e-11,0.15652951699169698,-3.332030233021366e-18,-1.261403135592553e-21,-2.5243942755612035e-20,-7.759062195468874e-22,6.04422783526856e-14,-2.144011660364828e-14,-9.383551338050065e-15,-6.895968031220982e-18,-6.4681444114419526e-18,-2.4936403647686386e-23,-1.5125703483983107e-16,-1.546747524921467e-23,6.567733983182546e-14,-5.0467541141361054e-21,-9.895360803107247e-21,-2.144308222494167e-25,-4.9771171844394936e-14,-2.935221444070154e-15,1.7274875127850152e-16,3.867844116444918e-18,-1.1228383348010077e-20,-1.9457667519076657e-17,-6.338963374234268e-16,3.7243181711677215e-16,-3.4167330386526842e-18,-4.466144856104611e-18,1.4106075170868886e-15,-1.4814190503501594e-16,-1.3846989458655085e-16,-1.2040530274582343e-16,-2.4521149323280455e-18,-2.7166687997327157e-16,-3.1320449153908983e-16,-4.364682016264047e-18,-1.3258370165126954e-17,0.5888491353500876,-44.159336922316605
550.8789639722779,0.2712022099749593,0.52,0.25462134758365546,3.924156290923483e-16,-3.29526156563946e-15,-6.221969692449132e-17,2.3327388069954326e-10,0.15652951695796816,7.547249751651367e-18,2.109778974958644e-21,4.256444472622517e-20,8.1473015774806535e-22,6.107363285459936e-14,-2.1266162428509348e-14,-9.480671428969644e-15,2.0394760227014573e-17,1.5925164058575373e-17,4.1704270834686106e-23,-1.3949330713660333e-16,2.5868190200478974e-23,7.585319471933336e-14,7.534020632254398e-21,1.6548084396432642e-20,3.5865132043759524e-25,-5.312160706678818e-14,-2.92291252438527e-15,1.8690117940731512e-16,1.802051554099108e-17,1.8778075440090248e-20,-5.138062563721681e-18,-6.178380278546566e-16,3.854296271786657e-16,9.360979208571641e-18,1.0028928200042728e-17,1.4208804133352345e-15,-1.3786810376586213e-16,-1.293142939542411e-16,-1.1126911289035024e-16,6.528077738682815e-18,-2.6016420716749493e-16,-3.016534595227998e-16,9.809184419155937e-18,2.7554119378942785e-17,0.5888491352250553,-35.4398689299425
550.8789639715944,0.2712022106707876,0.53,0.2546213468538045,3.2198456776054456e-16,-3.56970165076315e-15,-9.425973291726417e-17,3.0258254764341995e-09,0.15652951651973576,-2.2885438413095746e-17,-5.882551076851341e-21,-1.1826237394770368e-19,-4.08031320850432e-21,6.118077335010724e-14,-1.8153507444046995e-14,-9.632009413414012e-15,-5.619298123208773e-17,-4.6724078289360923e-17,-1.1640151037143633e-22,-1.7240574745073386e-16,-7.220115460957157e-23,2.4259279836272313e-13,-5.74478199326854e-20,-4.6191860411903873e-20,-1.0009852396654616e-24,-1.3540889734789575e-13,-2.9571446597901107e-15,1.473433985393003e-16,-2.1576259806031404e-17,-5.246002457325553e-20,-4.51822717964617e-17,-6.561968769789163e-16,3.43874335063581e-16,-2.490972807702859e-17,-3.0546835835108154e-17,1.3921457169024871e-15,-1.6660453517944057e-16,-1.54916691179873e-16,-1.3681314118369752e-16,-1.8440830365919925e-17,-2.923462731246727e-16,-3.3396785422144396e-16,-2.986495428466918e-17,-8.734028572348004e-17,0.5888491336005003,-26.72040093756839
