T [K],vel [m/s],dist [m],X_NO,X_NH3,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_NH2,X_NH,X_N,X_NNH,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2O,X_N2H4,X_N2H3,X_N2H2,X_H2NN,X_AR,X_HE,X_N2,tau [ms]
552.9783505010298,0.1346549507274868,0.0,3.522464502475886e-14,0.2546213476445975,1.4309603997041424e-17,0.15652951699462853,1.0724515873870961e-14,5.376842449567811e-15,-1.3296544166772974e-18,4.265444643622335e-17,2.3546201580228773e-14,5.996530350089796e-15,-1.8714345658916645e-14,-1.4266718930685633e-18,4.189512711322834e-15,-8.545597870836554e-19,9.281329838125616e-16,2.3480093235097908e-14,-3.662186535403171e-14,-8.638603927800261e-19,-7.010623289664217e-19,-5.3155615420935105e-17,-1.9632173559171682e-17,-9.59602726140435e-15,-5.415034073601682e-19,-6.459295533138847e-15,-4.8404864168634586e-18,-1.811632254779117e-15,3.208604745891542e-14,-1.4251454614433249e-15,-1.2739830418573804e-14,-8.465202904147651e-19,-2.8860699845517558e-18,0.5888491353607197,-30.916133104056634
552.9783505008664,0.13465495072745495,0.005000000000000001,3.944290421931602e-14,0.2546213476445579,6.301735470447427e-14,0.1565295169946155,4.585567050113413e-22,3.928624052646493e-19,4.594544219834674e-21,9.190145135179945e-15,3.312500165717099e-14,6.0209837693532054e-15,4.055723130408943e-14,-3.708803198297154e-22,1.2148365391053686e-19,1.8475406479956574e-27,9.180937537818978e-16,1.9367148280945295e-14,-3.252183485107181e-14,1.3480191183119378e-18,4.1598732166846584e-19,-1.2792948316562035e-14,-5.574759704297347e-15,-4.039519937431743e-15,1.54667007439502e-19,-6.458248847825786e-15,-4.057373282625756e-18,-2.590593088101497e-14,3.022424579163716e-14,-1.4239398676042334e-15,-7.472624344166292e-19,2.438497955815564e-19,8.00796944707848e-19,0.5888491353606736,-22.124042484448495
552.9783504996681,0.1346549507276516,0.010000000000000002,3.941009602889169e-14,0.2546213476435311,3.852873903362278e-12,0.15652951699400966,-8.085661548661529e-26,5.64694984482841e-22,-1.8919111327853083e-23,-1.957504162817747e-15,3.308605745167691e-14,6.016240150180295e-15,3.24257558266253e-13,-2.0904090323434666e-21,-1.1698734172481843e-23,-1.0261548516095493e-27,9.078431729522648e-16,1.5727762537944726e-14,-2.887423627379556e-14,2.1259567310463218e-18,7.311433751392874e-20,-1.2793595066748444e-14,-7.91673885706901e-15,-1.6991784822400224e-15,-6.251092064090582e-20,-6.458113411927927e-15,-4.476823772520328e-18,-1.5627048512236029e-13,1.900295565672426e-14,-1.424145654506219e-15,-1.6267527396320568e-22,-9.119064557108267e-20,-2.1558162921891893e-19,0.5888491353583852,-13.331951864840358
552.9783504988867,0.13465495073811384,0.0125,3.9394289583906134e-14,0.2546213476210369,8.982566883016477e-11,0.1565295169805127,6.586407211619566e-25,1.2701742694318226e-21,-1.135932782739981e-23,-1.0530338917749232e-14,3.3258098483840046e-14,6.004578525335008e-15,5.104791501390651e-13,-2.62400841629067e-21,1.1558963070843764e-22,1.6157529100047596e-26,9.04366706964182e-16,1.4021240356709838e-14,-2.7155431478555706e-14,2.80858050408263e-18,1.2755686131854901e-18,-1.2792199900257574e-14,-8.609183498224668e-15,-1.0056451543779025e-15,6.878246461913702e-19,-6.457188797413313e-15,-3.652086558620285e-18,-2.4053368483370623e-13,1.0364438443151986e-14,-1.4229117829647607e-15,-1.221802754507132e-22,1.0825686514619988e-18,3.7812116528427465e-18,0.5888491353083187,-8.935906555036288
552.9783504984445,0.1346549508613663,0.01375,3.9383860446487684e-14,0.2546213473605182,1.0864941668075676e-09,0.15652951682411187,-9.643817695410167e-26,9.30209322362736e-22,-2.791811940247837e-23,-1.571442985859975e-14,3.97930335692385e-14,5.9953133979186514e-15,6.206063416045093e-13,-3.2854239193215936e-21,-8.004583841937542e-23,-8.572689793957102e-27,9.020984915513305e-16,1.3194641465327055e-14,-2.632259430173645e-14,3.0172977903360975e-18,1.1862137635832514e-18,-1.279316958178712e-14,-8.867062716391635e-15,-7.482868249271466e-16,5.764706618278418e-19,-6.457212084864168e-15,-3.745898496587656e-18,-2.9019076226079e-13,5.145814929739396e-15,-1.422910773425802e-15,-4.967087386838261e-22,9.87643690440548e-19,4.57048238165575e-18,0.5888491347285133,-6.737883900134255
552.978350498854,0.13465495280936138,0.015,3.963780896883897e-14,0.2546213432465617,1.6824741493156393e-08,0.15652951435450474,2.3144321030114842e-23,9.967060852858038e-21,1.766921206413684e-22,-2.1794872054958385e-14,3.507155005621305e-13,6.024122111419657e-15,7.535403543182898e-13,-1.2165965210704207e-21,3.0561690767541364e-21,3.929120220711754e-25,9.184318263771008e-16,1.2422533103287706e-14,-2.550089938483551e-14,5.798839937251661e-18,1.5228275736058432e-17,-1.275918879349018e-14,-9.044909468874085e-15,-5.492832141757295e-16,9.73936372011579e-18,-6.447980510841015e-15,1.3151769794058054e-17,-3.5014165738800686e-13,-1.13237976065824e-15,-1.405372233167446e-15,3.1868818436693333e-21,1.4596020034354656e-17,3.71987500756281e-17,0.5888491255734575,-4.539861245232222
552.9783505167208,0.13465496459206758,0.015625,4.3703948634575175e-14,0.25462131836470897,1.1198921404991583e-07,0.15652949942231859,-4.157004297337437e-23,-4.3567716087507585e-20,-1.115816651528637e-21,-2.5336425016193647e-14,5.92255205516254e-12,6.563246683379403e-15,8.263472883869933e-13,-1.8348184177695372e-20,-1.609785768404444e-20,-2.0568171592939097e-24,9.78069714104024e-16,1.2293261750768748e-14,-2.514055171499491e-14,-6.326993028275234e-18,-2.193779033805101e-17,-1.2606659334131111e-14,-9.14313994164062e-15,-4.92076036476657e-16,-1.595297367482077e-17,-6.473568614907491e-15,1.3519677150056204e-16,-3.8324888320501736e-13,-4.6058098594923016e-15,-1.3613304374048207e-15,-2.0647573389310977e-20,-2.4786025989158324e-17,-7.688150397862407e-17,0.5888490702174143,-3.4408499177812044
552.9783506922689,0.13465500318930196,0.0159375,8.934008234397945e-14,0.2546212368628645,4.23501144163762e-07,0.1565294505495557,2.1076135265391358e-22,1.4723456809963462e-20,2.805431725090054e-22,-2.6083472656084436e-14,5.7259709243357006e-11,1.2786461885027642e-14,8.659467503771011e-13,-3.7470033906210735e-22,4.6865159468205515e-21,6.056203144876064e-25,2.062402602901741e-15,1.535877485113346e-14,-2.4914166196537726e-14,6.204768620076127e-18,1.8553793669594544e-17,-9.810678514216667e-15,-8.928595137526784e-15,-4.487538879493884e-16,-1.1580448744413151e-17,-6.469161999740854e-15,2.215462252849586e-15,-4.004620553925965e-13,-6.360595334044491e-15,-4.498600409200616e-16,4.994275572289599e-21,-1.7509604957030038e-17,-4.425635176306151e-17,0.5888488890286722,-2.891344254055697
552.9783530154695,0.13465518486690176,0.01625,7.548491683974131e-13,0.2546208533302767,1.8869627601576075e-06,0.15652922101922231,9.78096752477115e-22,5.351413526200564e-20,1.2145693788596321e-21,-1.7355685514951434e-14,7.050183662432543e-10,1.0272482921715706e-13,9.202700312259478e-13,1.149290427521669e-20,1.8483393604207684e-20,2.4053882837827895e-24,1.785152273570154e-14,6.250067612611927e-14,-2.438071784608856e-14,1.3557288631542085e-16,5.197597154187683e-16,3.640961113689424e-14,-4.357758576773153e-15,-3.9788408155078317e-16,3.826255417369234e-18,-6.453301263117482e-15,4.022967359383959e-14,-4.1758425314245153e-13,-7.54714855002923e-15,1.2953837337915278e-14,2.2011212271289103e-20,6.42122083490902e-18,3.4248879795613504e-17,0.5888480379812521,-2.3418385903301866
552.9783837367777,0.13465604301983727,0.0165625,1.0460518528717316e-11,0.25461904359832477,8.762258231772327e-06,0.15652814347703262,5.059826722786158e-21,7.849927333927418e-20,1.962072912409097e-21,1.1018039411040229e-13,8.878335988955345e-09,1.4026526255213451e-12,1.106551677340741e-12,1.9010082937568425e-20,2.726291591729765e-20,4.1647585362226386e-24,2.4854508250657194e-13,7.502733131997869e-13,-1.9578224476395573e-14,4.172677957224702e-15,7.426199443742852e-15,8.025609888428272e-13,8.05615701028821e-14,-3.472514491659125e-16,2.0641758836972804e-17,-6.4261973114816195e-15,7.360752510236535e-13,-4.2077071255993555e-13,1.978262957853163e-15,2.1095903212430594e-13,3.317373477351095e-20,2.8083825873635516e-17,9.030080730874722e-17,0.5888440417725993,-1.792332926604679
