T [K],vel [m/s],dist [m],X_NO,X_NH3,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_NH2,X_NH,X_N,X_NNH,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2O,X_N2H4,X_N2H3,X_N2H2,X_H2NN,X_AR,X_HE,X_N2,tau [ms]
552.9783505010298,0.13135642417631038,0.0,-4.4808864797661914e-14,0.2546213476445985,4.0753976538598865e-15,0.15652951699463027,1.9034559532912304e-14,-1.5021051995930025e-14,-3.729171928435109e-20,1.8004527352521354e-16,-4.51070652194744e-15,1.9755590261153963e-15,6.702385948235393e-17,-3.991352290482622e-20,1.3375599444896068e-15,-2.396198239320544e-20,2.0718757464079006e-15,-4.4287431566997715e-14,-5.4065804002592956e-14,-7.643849076045489e-20,-3.9394228038324665e-20,-2.815136735767323e-17,1.4544457734250335e-17,6.008085763075018e-15,-1.5796384130565865e-20,4.0359970020674165e-15,-1.0721814592236297e-15,2.3162638230159873e-14,7.459967442994062e-16,1.191660096591085e-15,-7.387927322349897e-15,-2.579913307746552e-20,-1.2895362939815549e-19,0.5888491353608786,-31.703167325138796
552.9783505032228,0.1313564241768071,0.005000000000000001,-4.355489837033973e-14,0.2546213476446728,8.346444032552951e-14,0.1565295169946273,3.283157517518409e-21,-5.584512101521553e-19,-6.480568839016541e-21,3.75965580389333e-14,-1.8137625730674254e-14,2.0723457515667545e-15,-5.286314454154007e-13,4.4989691717092565e-21,7.181361310790256e-20,-9.261117378221159e-27,2.053216121113658e-15,-5.0201533354507955e-14,-4.794241600822688e-14,-1.0486258552483901e-17,-3.3287556090917215e-19,-7.421776846650072e-15,3.696962080296004e-15,2.3228129420867227e-15,-1.954714717003757e-19,4.035619939321031e-15,-1.0723774999641602e-15,2.5359638799757467e-13,1.9292768539528387e-14,1.1912812883792248e-15,-4.661240431795341e-19,-3.1183665910351594e-19,-1.1887851793952213e-18,0.5888491353609875,-22.68725582310668
552.9783505009727,0.13135642417686882,0.010000000000000002,-4.400182431196113e-14,0.2546213476433881,4.744210083606658e-12,0.15652951699385656,-3.0964423430962175e-24,-6.124705885150021e-22,-1.0571296699573397e-22,3.634830798628223e-14,-1.8344528741854798e-14,2.1645874107068285e-15,-5.342438098099482e-15,-4.836187624906848e-21,-1.333820584398228e-22,-1.9214207231968086e-26,2.0339900161742736e-15,-5.538063087751308e-14,-4.2512711706121366e-14,-9.561880133897459e-18,-3.1489503682581984e-18,-7.422021637741174e-15,5.1162956167725964e-15,8.976997896579793e-16,-1.9768931199794184e-18,4.033644164586653e-15,-1.0744594856446737e-15,-7.808133196787868e-15,1.8657955481865863e-14,1.1885429336714447e-15,-1.5026477248191551e-22,-3.0633733826236495e-18,-9.673311676249224e-18,0.5888491353581228,-13.671344321074566
552.9783505002608,0.13135642418917032,0.0125,-4.4132224299690953e-14,0.2546213476163943,1.0794132625463483e-10,0.15652951697765305,1.9998967631031878e-23,2.685431631277703e-21,1.3003355109693106e-23,3.2867447844668196e-14,-1.8155631943567705e-14,2.2168751980533574e-15,1.6193621836223438e-13,-2.2364525824948047e-21,8.83445245942272e-22,1.1174416460298356e-25,2.0353889013933058e-15,-5.778831432121948e-14,-3.99483902950434e-14,-8.146898425785044e-18,6.1341121796737245e-18,-7.403591504174651e-15,5.5219090206020255e-15,5.048058339012871e-16,3.873270513894787e-18,4.0393823268460696e-15,-1.0671810199988304e-15,-8.82321180459138e-14,1.5389673711938993e-14,1.1976192086061286e-15,9.537681541630905e-22,6.004443137618584e-18,1.896154150308887e-17,0.5888491352980423,-9.163388570058508
552.97835049999,0.13135642433016625,0.01375,-4.4252899887964595e-14,0.25462134731102076,1.276255082541919e-09,0.1565295167943178,-3.657065470391848e-23,-4.231317160399515e-21,-1.3930918591690275e-22,3.042704422013643e-14,-1.2417927235453126e-14,2.228462124986462e-15,2.2959117539160283e-13,-3.8675684633571294e-21,-1.6434258870521988e-21,-2.1149772708868534e-25,2.023030044937843e-15,-5.896415710448383e-14,-3.871863784176066e-14,-9.864373372942679e-18,-2.6303205580747787e-18,-7.41925865611747e-15,5.655995443917452e-15,3.576675773237349e-16,-1.6209215332194122e-18,4.033851296077687e-15,-1.0739607916524268e-15,-1.1989164916898555e-13,1.3158761494472638e-14,1.189110894085375e-15,-2.2400578309343865e-21,-2.5558924132449228e-18,-8.828550270937152e-18,0.5888491346184005,-6.9094106945504805
552.9783505005367,0.1313564265066403,0.015,-4.419316551121657e-14,0.2546213425993411,1.9301744839845175e-08,0.1565295139657861,1.0408580022851229e-23,3.5253886706128166e-22,-2.5434805815548388e-23,2.7544805057098943e-14,2.5705346595493847e-13,2.270416572340409e-15,2.949948810176835e-13,-2.3948428979408934e-21,-5.762466329961545e-23,-8.865253188952454e-27,2.02304307109386e-15,-6.007850645776865e-14,-3.751726060819874e-14,-8.66840375841412e-18,-1.8661313989221044e-18,-7.41255106294808e-15,5.757693027258804e-15,2.565930764834679e-16,-1.4323799680469517e-18,4.033989516747332e-15,-1.0696539725942868e-15,-1.4978702657489987e-13,1.038834829280842e-14,1.1910364076686815e-15,-3.481517092596448e-22,-1.9334167091778136e-18,-2.495307633751268e-18,0.5888491241328226,-4.655432819042453
552.9783505155148,0.1313564393743577,0.015625,-4.1345161044684624e-14,0.25462131474409183,1.2584793771519342e-07,0.1565294972474071,3.1036898085013025e-22,2.846006163866974e-20,6.49600873757299e-22,2.626271073072385e-14,4.972837721915388e-12,2.7700887381764355e-15,3.2856068216858907e-13,6.31405310578365e-21,9.949002472418576e-21,1.2711893184651469e-24,2.1049751153655876e-15,-6.035139906434977e-14,-3.690319845422094e-14,-2.0583011282996304e-18,2.2202140931346813e-17,-7.240019188983072e-15,5.829590720731796e-15,2.2778800581769073e-16,1.3314964910037004e-17,4.048683578553082e-15,-9.496993053314136e-16,-1.6481774326522726e-13,8.885249682549538e-15,1.2392598731582504e-15,1.1997368383146204e-20,1.9579598153281662e-17,4.636519285439999e-17,0.5888490621555221,-3.5284438812884407
552.9783506581748,0.1313564806435366,0.0159375,-1.2480393415630508e-14,0.25462122540986754,4.673800340604033e-07,0.15652944366240198,-4.1309001731169873e-22,-9.195866903036485e-20,-2.242162909002646e-21,2.5730014795274678e-14,4.741204407489656e-11,7.58786840166457e-15,3.465048235273273e-13,-3.133928670263198e-20,-3.305123986507954e-20,-4.231010532982893e-24,2.7144902078612253e-15,-5.796944884948937e-14,-3.663273042428697e-14,-2.0720100263386895e-17,4.393352220381805e-18,-5.7529693920995874e-15,5.9477983390846725e-15,1.8188936004815012e-16,-1.2683560980278442e-17,4.022739278721561e-15,3.6317637220795204e-16,-1.7260768563345088e-13,8.075659380744627e-15,1.4835508005633045e-15,-4.123028056158542e-20,-1.943560167891537e-17,-5.2208609038967644e-17,0.5888488635001674,-2.964949412411433
552.9783525027475,0.13135667105659218,0.01625,4.019483146750794e-13,0.25462081328910807,2.0409432807717335e-06,0.15652919683705346,2.16415074912382e-21,7.162573374936475e-20,1.6888727655085467e-21,3.237465641165025e-14,5.708250505776806e-10,7.61877582722933e-14,3.7615553844246364e-13,1.96665892430638e-20,2.5335197808225633e-20,3.2523900465374135e-24,1.2035348855984974e-14,-1.989883773516825e-14,-3.606957541218066e-14,7.35682057214691e-17,3.4743957682559577e-16,1.9616761990235734e-14,8.373783031741791e-15,1.8574899781890015e-16,7.786185266370504e-18,4.043346745038603e-15,2.444464197411587e-14,-1.7995492612824242e-13,7.650511174150398e-15,5.610214384377136e-15,3.096743029351157e-20,1.1769539720451579e-17,5.4657794754159085e-17,0.5888479483589992,-2.401454943534425
552.9783763418299,0.131357551864819,0.0165625,6.307104164005231e-12,0.2546189081538092,9.290978041085243e-06,0.15652806028112054,9.34478945450709e-21,-6.164941419134256e-20,-1.4550630789052971e-21,1.2394554497736778e-13,7.026207736567348e-09,1.044763598384476e-12,5.090389294400008e-13,-2.221344509514543e-20,-2.241234964388812e-20,-2.6855217497682666e-24,1.4484832764530956e-13,5.241842977173825e-13,-3.2350444667072726e-14,2.464957798416513e-15,4.724349847565456e-15,4.298508994638265e-13,5.148325240508418e-14,1.5764396104720505e-16,-5.628441332847005e-18,4.034101777492847e-15,4.547863630005544e-13,-1.8049364995706098e-13,1.3122995304992368e-14,6.481430363403074e-14,-2.8074911808841556e-20,-2.1783669171769033e-18,1.132655091889554e-16,0.5888437335513549,-1.8379604746574172
